stratum,method,snr_db,conditions,records,availability,standardized_absolute_bias,standardized_rmse,pass_proportion_half_tolerance,pass_proportion_primary_tolerance,pass_proportion_double_tolerance,numerical_gates_pass,interpretation
impulsive_transient,s_transform,40.0,8,800,1.0,0.4325973057499914,3.9860701980439206,0.2125,0.25,0.35875,False,exploratory SNR slice; not a frozen validity domain
impulsive_transient,s_transform,50.0,4,400,1.0,2.1826425700449197,3.6896182339836123,0.0,0.5,0.5,False,exploratory SNR slice; not a frozen validity domain
impulsive_transient,stft,20.0,15,1500,1.0,6.623822060435401,10.083145312524245,0.14466666666666667,0.19333333333333333,0.236,False,exploratory SNR slice; not a frozen validity domain
impulsive_transient,stft,30.0,7,700,1.0,2.3414459159526273,11.729874841830103,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
impulsive_transient,stft,40.0,8,800,1.0,1.607572718185825,6.785046838344906,0.0,0.0,0.25,False,exploratory SNR slice; not a frozen validity domain
impulsive_transient,stft,50.0,4,400,1.0,4.993338043814886,11.943553366870804,0.0,0.0,0.5,False,exploratory SNR slice; not a frozen validity domain
impulsive_transient,vmd,20.0,15,1500,1.0,6.690069855812492,9.251942585789758,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
impulsive_transient,vmd,30.0,7,700,1.0,2.7181956063257022,12.100130405348246,0.002857142857142857,0.002857142857142857,0.14285714285714285,False,exploratory SNR slice; not a frozen validity domain
impulsive_transient,vmd,40.0,8,800,1.0,0.6660385480488736,6.959188948939641,0.01375,0.19625,0.25,False,exploratory SNR slice; not a frozen validity domain
impulsive_transient,vmd,50.0,4,400,1.0,4.095094569178306,8.879677721040636,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
impulsive_transient,wavelet,20.0,15,1500,1.0,3.1100022174320943,8.883072230165228,0.07866666666666666,0.21066666666666667,0.2733333333333333,False,exploratory SNR slice; not a frozen validity domain
impulsive_transient,wavelet,30.0,7,700,1.0,2.4963673868943754,15.377472315744553,0.14285714285714285,0.2742857142857143,0.2857142857142857,False,exploratory SNR slice; not a frozen validity domain
impulsive_transient,wavelet,40.0,8,800,1.0,2.609410003691932,11.587994109832305,0.0,0.09375,0.125,False,exploratory SNR slice; not a frozen validity domain
impulsive_transient,wavelet,50.0,4,400,1.0,4.262479424166156,12.257254207972494,0.0,0.25,0.25,False,exploratory SNR slice; not a frozen validity domain
interruption,s_transform,20.0,6,600,1.0,1.4780275932148912,2.68078777240059,0.0,0.5416666666666666,0.6666666666666666,False,exploratory SNR slice; not a frozen validity domain
interruption,s_transform,30.0,6,600,1.0,0.08572789480039981,3.0618288133615206,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
interruption,s_transform,40.0,3,300,1.0,1.411878217398186,4.500017905945885,0.0,0.0,0.0,False,exploratory SNR slice; not a frozen validity domain
interruption,s_transform,50.0,5,500,1.0,1.1029181487030344,2.024679180367309,0.0,0.0,0.6,False,exploratory SNR slice; not a frozen validity domain
