stratum,method,condition_n,covariates,target_effect,largest_absolute_nuisance_effect,target_minus_largest_nuisance,margin_bootstrap_ci_low,margin_bootstrap_ci_high,monotonic_positive,target_exceeds_largest_nuisance,point_margin_pass,physical_response_gate_pass,bootstrap_supportive_strict_pass
oscillatory_transient,s_transform,27,frequency_hz;snr_db;position_quantile;amplitude_pu;support_ms;time_constant_ms;phase_45_vs_0;phase_90_vs_0;phase_135_vs_0,924.3154883801858,962.5507062310866,-38.23521785090077,-1035.5385824923414,363.17437360715326,True,False,False,False,False
oscillatory_transient,stft,27,frequency_hz;snr_db;position_quantile;amplitude_pu;support_ms;time_constant_ms;phase_45_vs_0;phase_90_vs_0;phase_135_vs_0,-19.275257046878856,2261.8568842699055,-2281.1321413167843,-3544.4339309819634,-1368.3391128854805,False,False,False,False,False
oscillatory_transient,vmd,21,frequency_hz;snr_db;position_quantile;amplitude_pu;support_ms;time_constant_ms;phase_45_vs_0;phase_90_vs_0;phase_135_vs_0,1853.939516517747,1431.4724911435076,422.4670253742395,-1772.1867962721872,1452.8962921888312,True,True,True,False,False
oscillatory_transient,wavelet,27,frequency_hz;snr_db;position_quantile;amplitude_pu;support_ms;time_constant_ms;phase_45_vs_0;phase_90_vs_0;phase_135_vs_0,11.649472557810446,2283.286554923891,-2271.6370823660804,-3609.9310033420566,-1255.8225321125406,True,False,False,False,False
sag,s_transform,19,residual_voltage_pu;snr_db;position_quantile;duration_cycles;phase_45_vs_0;phase_90_vs_0;phase_135_vs_0,0.8475800846639449,0.14245786490559828,0.7051222197583465,-2.2477095930490476,0.9133980976160448,True,True,True,False,False
sag,stft,19,residual_voltage_pu;snr_db;position_quantile;duration_cycles;phase_45_vs_0;phase_90_vs_0;phase_135_vs_0,0.7853814189071093,0.3524514722419101,0.43292994666519924,-0.08887969520013064,0.5752893631451957,True,True,True,False,False
sag,vmd,19,residual_voltage_pu;snr_db;position_quantile;duration_cycles;phase_45_vs_0;phase_90_vs_0;phase_135_vs_0,0.7220001927683956,0.4126117731237511,0.3093884196446445,-2.2165453294575244,0.5606217456872824,True,True,True,False,False
sag,wavelet,19,residual_voltage_pu;snr_db;position_quantile;duration_cycles;phase_45_vs_0;phase_90_vs_0;phase_135_vs_0,0.8146268897671531,0.2049694918712934,0.6096573978958597,0.2179268587199726,0.8274316031772846,True,True,True,True,True
swell,s_transform,18,event_voltage_pu;snr_db;position_quantile;duration_cycles;phase_45_vs_0;phase_90_vs_0;phase_135_vs_0,2.2118961539516495,1.2809798649828066,0.9309162889688429,0.30227643492954537,1.5734852646765616,True,True,True,True,True
swell,stft,18,event_voltage_pu;snr_db;position_quantile;duration_cycles;phase_45_vs_0;phase_90_vs_0;phase_135_vs_0,2.192751016007869,1.3772539161489121,0.815497099858957,0.4753914116516547,1.200155924506875,True,True,True,True,True
swell,vmd,18,event_voltage_pu;snr_db;position_quantile;duration_cycles;phase_45_vs_0;phase_90_vs_0;phase_135_vs_0,2.1464448410334485,1.3469476594886358,0.7994971815448126,0.40770243710484455,1.2613486044269733,True,True,True,True,True
swell,wavelet,18,event_voltage_pu;snr_db;position_quantile;duration_cycles;phase_45_vs_0;phase_90_vs_0;phase_135_vs_0,2.1041772172667614,1.272854166073968,0.8313230511927934,0.4678541361762122,1.1406464318727374,True,True,True,True,True
