stratum,method,slope,slope_ci_low,slope_ci_high,intercept,intercept_ci_low,intercept_ci_high,gate_pass
flicker,s_transform,0.8862361325576117,0.725937989388668,0.9965471866653028,0.603757380733873,0.044036323805174526,1.4726733699311256,False
flicker,stft,0.9845922502717159,0.9608427436670769,1.0059290901374005,0.012906592116339604,-0.15474887864991171,0.20960323758646207,True
flicker,vmd,0.08520713057441306,0.052805859676404,0.11679840302627782,12.301773018042912,12.139653097433415,12.49983741574677,False
flicker,wavelet,0.0461134157591202,0.007065383135165307,0.09247770672722525,12.939477372495082,11.82504051315208,13.836084532767016,False
harmonics,s_transform,-0.14494545716910903,-0.38113359548293635,0.08251349338404222,0.08000811728282965,0.06528382017005555,0.09605510567533132,False
harmonics,stft,0.16785017205175484,0.008310179217278222,0.3361555911797463,0.051893854784014155,0.042554758048895136,0.060216221200582364,False
harmonics,vmd,0.21518007136488743,0.000532074409903525,0.41633752269060925,0.0368097846662028,0.02509077918635023,0.04817941540380364,False
harmonics,wavelet,0.5160421733952363,0.32376003157753536,0.703742430806557,0.029025577539557097,0.019061501194165838,0.03909811216099946,False
impulsive_transient,s_transform,0.9035902443203717,0.4036939798085309,1.401902738847542,0.4120340975709405,0.10122176107502884,0.7376773206937371,False
impulsive_transient,stft,0.6296154718163408,0.4562366190188864,0.8096215051071958,0.2822205367116366,0.17449036096647377,0.3675920258214084,False
impulsive_transient,vmd,0.2192090495605749,0.06199274539600811,0.42615327449294643,0.30847765362331053,0.21784364995081176,0.3788030468996204,False
impulsive_transient,wavelet,0.24202230634153268,0.018054390957123124,0.4779447515395719,0.45030938666440445,0.3478988569438973,0.5634842442905231,False
interruption,s_transform,0.027222990822518202,-0.08855504448838247,0.07611861294921728,0.05032916539196058,0.0453984919570664,0.06012424863627365,False
interruption,stft,0.9443010226738126,0.8229682887249208,1.0127486597751918,0.0009898354410777714,-0.00566532066922069,0.012712537901721303,True
interruption,vmd,-0.011389863558713154,-0.18661478833333475,0.1049538242153957,0.05710662520562082,0.04946292652077077,0.07240598679908972,False
interruption,wavelet,0.011238524067860358,-0.12429154332386666,0.06758559391221812,0.050580947255355724,0.04529280156425405,0.06098768447091073,False
notching,s_transform,0.9494196168985265,0.6699679106867467,1.2186240702874411,0.06077728164769556,-0.012945293428852363,0.12982992696461926,True
notching,stft,0.681222801996565,0.3983471479735771,0.930719982486511,0.11590443153177502,0.05225786639184793,0.17843591866894248,False
notching,vmd,0.42101331646708823,0.1475554708858925,0.6915362003821124,0.14777559066337984,0.07821675382715214,0.21023493257825449,False
notching,wavelet,0.5685301179404452,0.30864097698708404,0.7952993040109002,0.1485342500111335,0.08767954900452032,0.20239118443753062,False
oscillatory_transient,s_transform,0.3611179548050031,0.22833354612159182,0.45995027993630266,1183.4572490732326,1015.8445630734203,1341.2454637046806,False
oscillatory_transient,stft,-3.156012316468963e-15,-9.23197925583521e-15,8.9945574763345e-15,1649.5884773662654,1649.5884773662403,1649.5884773662697,False
oscillatory_transient,vmd,0.7137379100148039,0.6993086009695915,0.7252302358866082,587.7441958007289,577.8440479607406,601.1996554423644,False
oscillatory_transient,wavelet,0.010910569067919986,-6.485331936057909e-15,0.03859370130129777,1633.6238784043928,1568.5532562739888,1661.1693067235515,False
sag,s_transform,0.6986925853325163,0.41660987744034955,0.8743664973762612,0.1557651453471431,0.08099414921609671,0.2456399881866869,False
sag,stft,0.4619834814336609,0.21321231722021666,0.8379207799651608,0.25356538728732325,0.1251542570045247,0.3948206222611707,False
sag,vmd,3.110600424452834e-06,-5.288712751618038e-08,5.981379458209586e-06,0.49364392590838363,0.4936426581889625,0.4936453409110217,False
sag,wavelet,0.7046314533339946,0.4501447190444278,0.984695139105898,0.12655998011208794,0.01715087088686672,0.2845806633446458,False
swell,s_transform,0.37485515125056423,0.04205547250434466,0.6506912182616446,0.8987295253538622,0.48945975574661726,1.3789150065978688,False
swell,stft,0.2435259487346819,-0.12281386226707336,0.6473523648197042,1.057457565294376,0.4379214577123165,1.5464750955754514,False
swell,vmd,0.003635999404169611,0.000524132876061093,0.011356165635686196,1.4334895608012854,1.4237563775160667,1.4373008416344903,False
swell,wavelet,0.5046251945767415,0.012828837525207788,0.9259908860148279,0.6854591507399301,0.06655184829090831,1.3234158847014754,False
