stratum,outcome,tolerance_level,primary_decision_level,method,condition_n,marginal_probability,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high
notching,qualification_pass,primary_tolerance,True,s_transform,21,0.19047619047619047,0.047619047619047616,0.38095238095238093
notching,qualification_pass,primary_tolerance,True,vmd,21,0.19095238095238093,0.047619047619047616,0.3504761904761905
notching,qualification_pass,double_tolerance,False,stft,21,0.2857142857142857,0.09523809523809523,0.47619047619047616
notching,qualification_pass,double_tolerance,False,wavelet,21,0.3295238095238095,0.13904761904761903,0.5238095238095238
notching,qualification_pass,double_tolerance,False,s_transform,21,0.3333333333333333,0.14285714285714285,0.5238095238095238
notching,qualification_pass,double_tolerance,False,vmd,21,0.23809523809523808,0.09523809523809523,0.42857142857142855
oscillatory_transient,qualification_pass,half_tolerance,False,stft,27,0.037037037037037035,0.0,0.1111111111111111
oscillatory_transient,qualification_pass,half_tolerance,False,wavelet,27,0.037037037037037035,0.0,0.1111111111111111
oscillatory_transient,qualification_pass,half_tolerance,False,s_transform,27,0.07407407407407407,0.0,0.18518518518518517
oscillatory_transient,qualification_pass,half_tolerance,False,vmd,27,0.0,0.0,0.0
oscillatory_transient,qualification_pass,primary_tolerance,True,stft,27,0.07407407407407407,0.0,0.18518518518518517
oscillatory_transient,qualification_pass,primary_tolerance,True,wavelet,27,0.037037037037037035,0.0,0.1111111111111111
oscillatory_transient,qualification_pass,primary_tolerance,True,s_transform,27,0.1111111111111111,0.0,0.2222222222222222
oscillatory_transient,qualification_pass,primary_tolerance,True,vmd,27,0.05851851851851852,0.0,0.15407407407407409
oscillatory_transient,qualification_pass,double_tolerance,False,stft,27,0.07407407407407407,0.0,0.18518518518518517
oscillatory_transient,qualification_pass,double_tolerance,False,wavelet,27,0.07407407407407407,0.0,0.18518518518518517
oscillatory_transient,qualification_pass,double_tolerance,False,s_transform,27,0.1111111111111111,0.0,0.25925925925925924
oscillatory_transient,qualification_pass,double_tolerance,False,vmd,27,0.07407407407407407,0.0,0.18518518518518517
sag,qualification_pass,half_tolerance,False,stft,19,0.0,0.0,0.0
sag,qualification_pass,half_tolerance,False,wavelet,19,0.1957894736842105,0.038421052631578946,0.39106578947368414
sag,qualification_pass,half_tolerance,False,s_transform,19,0.010526315789473684,0.0,0.03157894736842106
sag,qualification_pass,half_tolerance,False,vmd,19,0.05263157894736842,0.0,0.15789473684210525
